Samples	y_predict
TCGA.A6.5664.01A.21H.1838	1.46212437512933
TCGA.CM.6165.01A.11H.1652	0.802616242516546
TCGA.A6.5665.01B.03R.2303	0.324397486226353
TCGA.D5.6533.01A.11H.1722	1.43146043830742
TCGA.D5.6529.01A.11H.1773	0.834163604585727
TCGA.CK.4948.01B.11H.1652	1.03112777039628
TCGA.D5.6930.01A.11H.1927	0.876848681826782
TCGA.F4.6807.01A.11H.1838	0.875139524843205
TCGA.F4.6703.01A.11H.1838	1.22625858123639
TCGA.AM.5821.01A.01T.1652	0.819634917275578
TCGA.CM.6679.01A.11H.1838	1.0792385936523
TCGA.G4.6627.01A.11H.1773	1.75574649878203
TCGA.D5.6531.01A.11H.1722	0.886792612855271
TCGA.DM.A1D6.01A.21H.A154	0.559663413704328
TCGA.G4.6293.01A.11H.1722	0.949218981891446
TCGA.CA.6715.01A.21H.1838	0.979674672688791
TCGA.AZ.4616.01A.21H.1838	0.606342170383247
TCGA.DM.A285.01A.11H.A16S	0.612904108441677
TCGA.F4.6808.01A.11H.1838	0.824752313885346
TCGA.G4.6588.01A.11H.1773	1.01888521533405
TCGA.CM.4751.01A.02H.1838	0.836468758393122
TCGA.F4.6463.01A.11H.1722	0.968196034591234
TCGA.A6.5660.01A.01T.1652	0.776514247753022
TCGA.AZ.6605.01A.11H.1838	0.603955158572117
TCGA.CK.6751.01A.11H.1838	0.812630598181886
TCGA.AD.6548.01A.11H.1838	0.840726975615652
TCGA.DM.A28H.01A.11H.A16S	0.9309058626505
TCGA.G4.6302.01A.11H.1722	2.06781576785328
TCGA.CM.6164.01A.11H.1652	0.819689818954612
TCGA.CK.5914.01A.11H.1652	0.974034094543321
TCGA.AU.3779.01A.01T.1722	0.811819132920748
TCGA.D5.6540.01A.11H.1722	1.1041473392037
TCGA.AU.6004.01A.11H.1722	0.735408876639832
TCGA.F4.6855.01A.11H.1927	0.697646859388564
TCGA.AD.A5EJ.01A.11H.A28I	1.05342518511926
TCGA.A6.6651.01A.21H.1838	1.65524149953308
TCGA.G4.6310.01A.11H.1722	1.53328123002311
TCGA.QG.A5YW.01A.11H.A28I	1.0653796789007
TCGA.G4.6306.01A.11H.1773	1.52909748998772
TCGA.F4.6569.01A.11H.1773	0.817398527886141
TCGA.CM.5863.01A.21H.1838	1.02466285665833
TCGA.A6.6142.01A.11H.1773	0.807873488592655
TCGA.CA.5255.01A.11H.1838	1.11374347634978
TCGA.A6.6649.01A.11H.1773	0.44226110537099
TCGA.DM.A0X9.01A.11H.A154	1.12201458395397
TCGA.G4.6320.01A.11H.1722	1.01901652454992
TCGA.G4.6626.01A.11H.1773	0.808904414374972
TCGA.CM.6675.01A.11H.1838	1.22344506658116
TCGA.D5.6898.01A.11H.1927	0.708992558419667
TCGA.A6.5657.01A.01T.1652	0.571674831619031
TCGA.F4.6856.01A.11H.1927	1.11023345599321
TCGA.D5.5540.01A.01T.1652	1.09858464561312
TCGA.G4.6321.01A.11H.1722	0.668357058971172
TCGA.D5.7000.01A.11H.1927	0.780391051145335
TCGA.G4.6315.01A.11H.1722	1.07792788254258
