sampleID	target
1	95.0825475370431
2	103.829558159303
3	107.407337840481
4	106.110161380619
5	94.1873438627727
6	83.0354631690673
7	107.10484716881
8	106.294037603571
9	97.1343783780576
10	93.9698154874163
11	95.6248182060156
12	103.920190570097
13	99.2323521480648
14	89.8854234480741
15	99.1639087972937
16	92.8107872972404
17	109.299204430379
18	100.107870382823
19	83.7029975906009
20	104.331706732845
21	104.567170922684
22	82.7838500179666
23	103.432198874011
24	93.1916125025888
25	97.6600012448369
26	97.8930971834231
27	97.9415261080555
28	89.9098294126925
29	94.0499689771696
30	114.549911451924
31	107.541407193252
32	106.162549017239
33	105.356661501958
34	102.614253415963
35	95.4668135615799
36	113.05298707004
37	103.163624658325
38	93.8410302948616
39	100.432389190271
40	92.8285046788635
41	99.6564556149638
42	97.1469789811589
43	91.2685103503267
44	94.2666355290063
45	104.269535411213
46	101.384881011303
47	93.0644301211661
48	97.7217983930226
49	97.3357854885419
50	95.7032576350659
51	105.302762952017
52	98.753618690363
53	110.979356536909
54	94.3428579377632
55	111.379305851427
56	88.2707360398814
57	99.7361932721573
58	97.4510544363731
59	97.0853560757706
60	104.419020688742
61	100.516572130664
62	104.237511625528
63	97.8240022486408
64	97.0130845941343
65	93.8951535993167
66	88.2873534863513
67	95.097354935491
68	100.167138114664
69	109.719512055488
70	110.937326330882
71	91.1646305732655
72	93.5157605786849
73	95.9163657849349
74	103.79421952457
75	94.216380989833
76	102.945491723691
77	107.24188321692
78	97.4474742915902
79	97.9018821240827
80	105.502366085514
81	94.7994273020945
82	98.2837177398374
83	106.085841131864
84	104.790341128718
85	89.0701522705363
86	100.158417336456
87	107.334580129522
88	108.879883762459
89	96.7269418090372
90	102.361114608713
91	107.254968609236
92	90.9924387084576
93	113.769270461163
94	98.5861959856259
95	96.7250705927131
96	108.795097443815
97	103.048127379894
98	102.730212703892
99	95.4746871243143
100	102.578746355252
101	104.40930921075
102	102.370022661925
103	97.77875900355
104	103.319937673759
105	113.794180016984
106	98.0333186427189
107	101.86927431488
108	89.0263111813903
109	111.12135168657
110	102.521816107906
111	92.1235755580433
112	103.63671873575
113	97.2520225156604
114	101.810966637465
115	103.633033296664
116	103.116652216144
117	87.803321739126
118	104.08844196512
119	101.843196430796
120	102.975943222991
121	116.249402344947
122	96.9151290516449
123	96.6967199770433
124	102.17088424522
125	98.4504865282832
126	105.49365168791
127	98.8181906842304
128	95.5324651163663
129	98.0525141503816
130	102.797870544675
131	98.551169426319
132	96.3854084744756
133	106.316300513467
134	100.544225533039
135	87.2014444664212
136	102.8607244563
137	100.879185113121
138	91.8698739262655
139	95.4238419818507
140	99.9784564288388
141	104.229765838361
142	106.302421530043
143	98.7111724742343
144	87.786776582769
145	101.635579967139
146	96.7842645294129
147	100.705440689963
148	88.5526998841034
149	105.031571682755
150	91.2588503248063
